date,narration,amount,type,source_file,category,ai_categorized,similarity_score
2025-04-01,Salary credited from Singhvi & Co.,78000.0,credit,Book1.xlsx,Salary,False,100.0
2025-04-02,Amazon India - Online shopping purchase,-2899.0,debit,Book1.xlsx,Shopping,False,100.0
2025-04-03,Uber trip - Office to client meeting,-344.0,debit,Book1.xlsx,Food,False,100.0
2025-04-04,Interest on Fixed Deposit - ICICI Bank,1450.0,credit,Book1.xlsx,Shopping,False,80.0
2025-04-05,Payment to Zomato for dinner at Cafe Delhi Heights,-870.0,debit,Book1.xlsx,Salary,False,100.0
2025-04-06,Tuition fees received from client (Math 11th Std),6000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-04-06,Google Pay - Refund for failed Amazon payment,1239.0,credit,Book1.xlsx,Salary,False,100.0
2025-04-07,NEFT to HDFC Credit Card ending 6271,-4500.0,debit,Book1.xlsx,EMI,False,100.0
2025-04-08,Freelance payment received via Razorpay,12500.0,credit,Book1.xlsx,Salary,False,100.0
2025-04-08,Swiggy order - breakfast & tea (work from home),-310.0,debit,Book1.xlsx,Food,False,100.0
2025-04-09,Big Basket grocery order - monthly stock,-2850.0,debit,Book1.xlsx,Investment,False,100.0
2025-04-10,Movie ticket payment via BookMyShow,-450.0,debit,Book1.xlsx,Salary,False,100.0
2025-04-10,Dividend payout from Adani Enterprises,720.0,credit,Book1.xlsx,Salary,False,100.0
2025-04-11,Electricity bill payment to BESCOM Bangalore,-1320.0,debit,Book1.xlsx,Salary,False,100.0
2025-04-12,Home EMI to SBI Home Loan,-14800.0,debit,Book1.xlsx,EMI,False,100.0
2025-04-13,Cred cashback credited,123.0,credit,Book1.xlsx,EMI,False,100.0
2025-04-14,CultFit gym monthly membership fee,-1750.0,debit,Book1.xlsx,Suspense,True,0.0
2025-04-15,Google AdSense payout for March,1840.0,credit,Book1.xlsx,Salary,False,100.0
2025-04-16,Flipkart order - mobile cover & powerbank,-1279.0,debit,Book1.xlsx,Shopping,False,100.0
2025-04-17,D-Mart shopping - household items,-1930.0,debit,Book1.xlsx,Shopping,False,100.0
2025-04-18,Friend UPI refund for dinner at Koshy’s,850.0,credit,Book1.xlsx,Food,False,100.0
2025-04-19,BMS subscription auto-renewal,-99.0,debit,Book1.xlsx,Suspense,True,0.0
2025-04-20,Tuition fees received from Rohit (12th Std),8000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-04-21,Uber trip to airport - client drop,-520.0,debit,Book1.xlsx,Food,False,100.0
2025-04-22,Received payment from freelancing project (Web Dev),16500.0,credit,Book1.xlsx,Salary,False,100.0
2025-04-23,Amazon Prime annual renewal,-1499.0,debit,Book1.xlsx,Shopping,False,100.0
2025-04-24,Indane gas cylinder payment via Bharat BillPay,-1120.0,debit,Book1.xlsx,Salary,False,100.0
2025-04-25,Received bank interest for April,980.0,credit,Book1.xlsx,Suspense,True,0.0
2025-04-26,Recharge via PhonePe for Airtel number,-249.0,debit,Book1.xlsx,Utilities,False,100.0
2025-04-27,Taxi fare - client visit MG Road,-310.0,debit,Book1.xlsx,Transportation,False,100.0
2025-04-28,Amazon refund for defective item,1899.0,credit,Book1.xlsx,Shopping,False,100.0
2025-04-29,Tuition fees - IIT JEE batch (Group of 3 students),18000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-04-30,Swiggy Instamart snacks & cold drinks,-430.0,debit,Book1.xlsx,Food,False,100.0
2025-05-01,Monthly salary from Singhvi & Co.,78000.0,credit,Book1.xlsx,Salary,False,100.0
2025-05-03,Doctor consultation - Fortis Hospital,-950.0,debit,Book1.xlsx,Healthcare,False,100.0
2025-05-04,Apple iCloud subscription (monthly),-75.0,debit,Book1.xlsx,Suspense,True,0.0
2025-05-05,Dividend - Axis Mutual Fund,950.0,credit,Book1.xlsx,Investment,False,100.0
2025-05-06,PayTM payment - PVR movie snacks,-460.0,debit,Book1.xlsx,Salary,False,100.0
2025-05-07,Water bill for April (BWSSB),-310.0,debit,Book1.xlsx,Utilities,False,100.0
2025-05-08,Received tuition for CBSE 10th science student,5000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-05-10,Groceries - Nature’s Basket Koramangala,-1960.0,debit,Book1.xlsx,Salary,False,80.0
2025-05-12,Freelance payout via Payoneer (Design work),14500.0,credit,Book1.xlsx,Salary,False,100.0
2025-05-13,Electricity bill (May) - BESCOM,-1380.0,debit,Book1.xlsx,Utilities,False,100.0
2025-05-14,EMI - Bajaj Finserv Personal Loan,-7300.0,debit,Book1.xlsx,EMI,False,100.0
2025-05-15,Received cashback from CRED for electricity bill,120.0,credit,Book1.xlsx,Utilities,False,100.0
2025-05-17,Uber ride to JP Nagar for tuition,-280.0,debit,Book1.xlsx,Food,False,100.0
2025-05-18,Zomato lunch order - Sunday special,-620.0,debit,Book1.xlsx,Food,False,100.0
2025-05-19,Tuition batch (2 students - physics),10000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-05-20,Mutual fund SIP - Axis Bluechip,-2000.0,debit,Book1.xlsx,Investment,False,100.0
2025-05-21,PayTM - Cafe Coffee Day bill,-370.0,debit,Book1.xlsx,Salary,False,100.0
2025-05-22,Reimbursement - client travel allowance,1500.0,credit,Book1.xlsx,Suspense,False,100.0
2025-05-23,Metro recharge card top-up,-100.0,debit,Book1.xlsx,Transportation,False,100.0
2025-05-24,Cinema ticket via PayTM Movies,-420.0,debit,Book1.xlsx,Salary,False,100.0
2025-05-25,Interest on RD account,1150.0,credit,Book1.xlsx,Shopping,False,80.0
2025-05-26,Monthly salary Singhvi & Co.,78000.0,credit,Book1.xlsx,Salary,False,100.0
2025-05-28,Recharge - Tata Sky monthly pack,-399.0,debit,Book1.xlsx,Suspense,True,0.0
2025-05-29,Received UPI from friend for split cab fare,280.0,credit,Book1.xlsx,Food,False,100.0
2025-05-30,Amazon Pantry groceries,-2175.0,debit,Book1.xlsx,Shopping,False,100.0
2025-06-01,Salary,78000.0,credit,Book1.xlsx,Salary,False,100.0
2025-06-03,Flipkart - Keyboard & Mouse combo,-1650.0,debit,Book1.xlsx,Shopping,False,100.0
2025-06-05,BMS OTT monthly subscription,-149.0,debit,Book1.xlsx,Suspense,True,0.0
2025-06-06,Tuition advance received (June batch),9000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-06-08,Internet bill - Airtel broadband,-999.0,debit,Book1.xlsx,Utilities,False,100.0
2025-06-09,PayTM - McDonald's order,-440.0,debit,Book1.xlsx,Salary,False,100.0
2025-06-10,Interest income from FD,1120.0,credit,Book1.xlsx,Salary,False,100.0
2025-06-11,Swiggy order - office lunch,-310.0,debit,Book1.xlsx,Food,False,100.0
2025-06-12,Phone recharge via PhonePe,-299.0,debit,Book1.xlsx,Utilities,False,100.0
2025-06-13,Spotify premium renewal,-119.0,debit,Book1.xlsx,Entertainment,False,100.0
2025-06-14,Client payout - Design project milestone 2,9000.0,credit,Book1.xlsx,Salary,False,100.0
2025-06-15,Electricity bill - June,-1350.0,debit,Book1.xlsx,Utilities,False,100.0
2025-06-16,Tuition group (IIT physics - 3 students),18000.0,credit,Book1.xlsx,Suspense,True,0.0
2025-06-18,Zara apparel - online order,-3290.0,debit,Book1.xlsx,Suspense,True,0.0
2025-06-19,Google Pay - 50 cashback received,50.0,credit,Book1.xlsx,Salary,False,100.0
2025-06-20,Transfer to wife's account via NEFT,-5000.0,debit,Book1.xlsx,Salary,False,80.0
2025-06-21,Uber trip to Electronic City,-440.0,debit,Book1.xlsx,Food,False,100.0
2025-06-22,Dine-out at Empire Restaurant,-890.0,debit,Book1.xlsx,Food,False,100.0
2025-06-23,Received NEFT from client (Consulting),18500.0,credit,Book1.xlsx,Suspense,True,0.0
2025-06-24,Gold investment (MMTC PAMP),-5000.0,debit,Book1.xlsx,Investment,False,100.0
2025-06-25,Dividend credited - Reliance MF,980.0,credit,Book1.xlsx,Investment,False,100.0
2025-06-26,EMI - Home loan SBI,-14800.0,debit,Book1.xlsx,EMI,False,100.0
2025-06-28,Zomato Sunday dinner - friends,-1240.0,debit,Book1.xlsx,Food,False,100.0
2025-06-30,Received tuition payment (3 students combined),16500.0,credit,Book1.xlsx,Salary,False,100.0
